index	playlist_id	videos_total	playlist_name	playlist_url
68	x6l2vv	18	Hatsu 2020 - Day 2	https://www.dailymotion.com/playlist/x6l2vv
69	x6l2vw	18	Hatsu 2020 - Day 3	https://www.dailymotion.com/playlist/x6l2vw
70	x6l2vx	20	Hatsu 2020 - Day 4	https://www.dailymotion.com/playlist/x6l2vx
71	x6l2vy	19	Hatsu 2020 - Day 5	https://www.dailymotion.com/playlist/x6l2vy
72	x6l2vz	12	Hatsu 2020 - Day 6	https://www.dailymotion.com/playlist/x6l2vz
73	x6l2w0	19	Hatsu 2020 - Day 7	https://www.dailymotion.com/playlist/x6l2w0
74	x6l2w1	15	Hatsu 2020 - Day 8	https://www.dailymotion.com/playlist/x6l2w1
75	x6l2w2	20	Hatsu 2020 - Day 9	https://www.dailymotion.com/playlist/x6l2w2
76	x6l2w3	18	Hatsu 2020 - Day 10	https://www.dailymotion.com/playlist/x6l2w3
77	x6l2w4	16	Hatsu 2020 - Day 11	https://www.dailymotion.com/playlist/x6l2w4
78	x6l2w5	17	Hatsu 2020 - Day 12	https://www.dailymotion.com/playlist/x6l2w5
79	x6l2w6	20	Hatsu 2020 - Day 13	https://www.dailymotion.com/playlist/x6l2w6
80	x6l2w7	12	Hatsu 2020 - Day 14	https://www.dailymotion.com/playlist/x6l2w7
81	x6l2w8	18	Hatsu 2020 - Day 15	https://www.dailymotion.com/playlist/x6l2w8
82	x6n08b	17	Haru 2020 - Day 1	https://www.dailymotion.com/playlist/x6n08b
83	x6n08c	19	Haru 2020 - Day 2	https://www.dailymotion.com/playlist/x6n08c
84	x6n08d	18	Haru 2020 - Day 3	https://www.dailymotion.com/playlist/x6n08d
85	x6n08e	20	Haru 2020 - Day 4	https://www.dailymotion.com/playlist/x6n08e
86	x6n08f	20	Haru 2020 - Day 5	https://www.dailymotion.com/playlist/x6n08f
87	x6n08g	21	Haru 2020 - Day 6	https://www.dailymotion.com/playlist/x6n08g
88	x6n08i	18	Haru 2020 - Day 7	https://www.dailymotion.com/playlist/x6n08i
89	x6n08l	20	Haru 2020 - Day 8	https://www.dailymotion.com/playlist/x6n08l
90	x6n08m	26	Haru 2020 - Day 9	https://www.dailymotion.com/playlist/x6n08m
91	x6n08n	21	Haru 2020 - Day 10	https://www.dailymotion.com/playlist/x6n08n
92	x6n08o	30	Haru 2020 - Day 11	https://www.dailymotion.com/playlist/x6n08o
93	x6n08p	19	Haru 2020 - Day 12	https://www.dailymotion.com/playlist/x6n08p
94	x6n08q	21	Haru 2020 - Day 13	https://www.dailymotion.com/playlist/x6n08q
95	x6n08r	20	Haru 2020 - Day 14	https://www.dailymotion.com/playlist/x6n08r
96	x6n08s	16	Haru 2020 - Day 15	https://www.dailymotion.com/playlist/x6n08s
97	x6te50	15	July 2020 - Day 01	https://www.dailymotion.com/playlist/x6te50
98	x6te51	15	July 2020 - Day 02	https://www.dailymotion.com/playlist/x6te51
99	x6te52	15	July 2020 - Day 03	https://www.dailymotion.com/playlist/x6te52
100	x6te53	13	July 2020 - Day 04	https://www.dailymotion.com/playlist/x6te53
101	x6te54	14	July 2020 - Day 05	https://www.dailymotion.com/playlist/x6te54
102	x6te56	14	July 2020 - Day 06	https://www.dailymotion.com/playlist/x6te56
103	x6te57	15	July 2020 - Day 07	https://www.dailymotion.com/playlist/x6te57
104	x6te58	17	July 2020 - Day 08	https://www.dailymotion.com/playlist/x6te58
105	x6te59	13	July 2020 - Day 09	https://www.dailymotion.com/playlist/x6te59
106	x6te5a	13	July 2020 - Day 10	https://www.dailymotion.com/playlist/x6te5a
107	x6te5b	22	July 2020 - Day 11	https://www.dailymotion.com/playlist/x6te5b
108	x6te5c	14	July 2020 - Day 12	https://www.dailymotion.com/playlist/x6te5c
109	x6te5d	16	July 2020 - Day 13	https://www.dailymotion.com/playlist/x6te5d
110	x6te5e	11	July 2020 - Day 14	https://www.dailymotion.com/playlist/x6te5e
111	x6te5f	14	July 2020 - Day 15	https://www.dailymotion.com/playlist/x6te5f
112	x6uq2m	10	Yusho - 02 !!!	https://www.dailymotion.com/playlist/x6uq2m
113	x6v8dr	23	Aki 2020 - Day 1	https://www.dailymotion.com/playlist/x6v8dr
114	x6v8dt	22	Aki 2020 - Day 2	https://www.dailymotion.com/playlist/x6v8dt
115	x6v8dv	19	Aki 2020 - Day 3	https://www.dailymotion.com/playlist/x6v8dv
116	x6v8dw	20	Aki 2020 - Day 4	https://www.dailymotion.com/playlist/x6v8dw
117	x6v8dx	19	Aki 2020 - Day 5	https://www.dailymotion.com/playlist/x6v8dx
118	x6vv4a	23	Aki 2020 - Day 6	https://www.dailymotion.com/playlist/x6vv4a
119	x6vv4c	25	Aki 2020 - Day 7	https://www.dailymotion.com/playlist/x6vv4c
